id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.08821118783e-10,1.73965300498e-10,5.07568315313e-15,3.14295089954e-10,1.98651886607e-10,6.70817286164e-08,1.35984947261e-11,8.12691147017e-12,1.95274072468e-08,2.01704581856e-12,2.76550025546e-07,3.07353507032e-15,4.62838961601e-10,1.28379447508e-14,1.61750779437e-09,1.51746740173e-11,1.11032113637e-06,6.26027228239e-15,1.67990675624e-12,7.78649266917e-14,2.11632600333e-09,7.37524041838e-10,9.97513009693e-12,5.44064251116e-13,7.32692922617e-16,9.46106365994e-13,2.21788653221e-07,2.75757976453e-08,1.89314314225e-10,2.23524098536e-11,6.01417829451e-15,9.08019228518e-06,9.04225203158e-07,6.39343005621e-12,4.14389722536e-09,9.10057307291e-10,7.46744124869e-11,4.49275366909e-10,2.25075357657e-11,6.7797323311e-11,2.61582313969e-12,1.29353605605e-09,4.28025437316e-08,5.41491857795e-16,3.09198378012e-09,9.4353425073e-10,1.51379917952e-05,9.42736828272e-15,3.5567813343e-13,1.63797187619e-11,2.20061413536e-09,0.995458364487,2.16833488827e-14,7.70766650504e-09,1.02721585578e-12,4.74964494401e-08,2.98339000437e-06,5.0129531636e-15,7.16420520998e-13,5.61543068989e-11,5.37821909675e-14,3.75847275394e-13,3.4509821758e-13,1.14912452383e-12,0.00124520307872,8.04520547404e-11,1.00834884886e-09,2.0902837668e-15,1.18555776307e-10,3.33500886412e-13,2.29615913956e-13,1.08342891611e-14,1.02586362516e-07,1.98935852058e-14,2.6350191547e-05,8.38308196194e-08,1.69976947027e-17,8.60134452552e-09,2.1636909878e-05,9.64380268351e-13,6.86868339983e-11,4.70934836266e-12,3.59260746152e-11,0.00248476373963,0.000730703060981,6.07050831484e-16,5.83300636448e-17,9.15015472788e-15,2.75143815998e-06,2.06090353116e-13,2.73216560487e-09,1.81984718961e-10,2.95501782765e-11,9.28729448901e-09,1.85690893217e-10,1.22031846976e-13,1.05231985235e-16,4.98022245665e-09,9.64147923825e-14
7,1.45159653187e-08,6.36144999525e-12,8.65735785283e-08,1.2354402088e-06,3.65711320006e-14,1.03778617644e-10,2.24058203457e-06,3.47091279329e-12,1.02366159993e-09,1.27057919741e-10,2.62718818055e-12,4.52723172535e-13,4.35738600757e-09,2.60366381233e-11,9.75072245168e-10,6.63267487808e-12,1.55834442572e-10,3.3558600343e-10,3.34624363808e-12,7.29120711185e-06,5.50411161093e-10,2.89055623881e-09,2.14117525793e-12,2.85528956034e-09,1.92211691008e-09,1.039866665e-10,1.77628898257e-08,1.87074640223e-08,1.7314599754e-10,8.61888249659e-09,6.01298033587e-09,2.99326714526e-08,1.41867767534e-10,3.74867324682e-12,1.89843067346e-05,2.07921838248e-14,0.00384449469857,8.97603456451e-07,2.45059641202e-06,1.12565373911e-06,6.11020868746e-06,4.76922105008e-06,6.70677469117e-09,1.54531090146e-08,1.20787511937e-11,0.000125624981592,2.0262093392e-10,4.64256254418e-06,2.04808497983e-06,8.02128710675e-11,0.992805540562,3.30828392459e-10,4.53625865759e-08,2.71506814897e-06,8.71632650501e-08,5.52535652787e-07,1.80408410433e-10,2.56128673826e-09,7.36341192464e-08,6.00755884079e-05,2.3597210852e-09,5.22641585121e-07,1.24021962405e-12,2.75159152352e-07,1.0941195866e-10,2.79692879968e-10,4.62807986379e-10,5.02483787912e-09,1.05512535811e-05,0.0021443227306,1.88840068582e-10,1.56411399388e-08,2.54054763338e-11,5.1800879558e-11,1.73499634798e-11,1.91805904493e-09,7.55371584091e-05,1.4364913703e-09,6.91084656168e-09,3.1751974916e-07,1.78791970118e-09,1.58995032962e-06,0.000822006433737,1.95105330931e-05,7.4063024158e-08,7.65278855397e-06,1.71109135749e-07,6.43638259135e-06,1.53476447588e-13,2.57513212143e-11,1.13520309242e-06,1.39038969227e-09,9.37968561328e-13,1.34601395784e-13,2.46024410444e-06,3.92180599107e-09,1.60899671755e-05,6.47915610053e-11,8.80486936694e-08
9,8.28310087186e-10,0.987885057926,3.06310340959e-17,3.23448975936e-11,0.0112908380106,6.93929219642e-11,3.82255902279e-12,2.29898731163e-08,5.72595126869e-07,2.80109657069e-06,1.06939290756e-09,4.00408316636e-06,1.05993871458e-08,5.95640958778e-09,3.30898530798e-10,2.66424734718e-07,0.000814538158011,1.38831168783e-10,6.90180412821e-11,5.50633816321e-10,2.03214001182e-09,7.77973171995e-12,2.9432394022e-11,5.78934483361e-14,3.45751106659e-17,2.1542823081e-10,4.62010376623e-08,1.44638287458e-10,1.01597173341e-07,1.02693097082e-10,1.02361668404e-13,4.41897847524e-13,1.69670272498e-07,1.59291593804e-10,8.36008707567e-16,5.86241171163e-08,1.26913873833e-13,1.57607052409e-10,1.62107757773e-10,3.80510645215e-09,2.26352783901e-14,5.16493514624e-11,9.22869159564e-12,5.44278109995e-13,9.3708237614e-08,3.17237338829e-13,1.62440158546e-10,1.63375438178e-10,2.68540800707e-10,2.00105443326e-09,4.12043175187e-14,1.02507974331e-10,1.4566207962e-10,1.01150043896e-09,2.54518845236e-12,3.78482072072e-11,7.38683766932e-11,8.2723017325e-10,1.18692373638e-11,3.37007440183e-14,2.76921513498e-10,1.69553509963e-16,6.17587318175e-07,1.29558863637e-12,4.35928413367e-08,2.27472457537e-10,1.20176908425e-08,3.66348797002e-14,7.2963404524e-14,5.02635991639e-14,1.05594179234e-11,1.76349820163e-12,7.74384931179e-11,1.41552089494e-10,4.39059055779e-09,1.15700924397e-08,1.65306125992e-12,3.45499384657e-09,1.68891067798e-10,8.17186054068e-13,5.88864859652e-11,1.67928455972e-13,1.14309383221e-15,1.15821803537e-10,9.68684021885e-11,7.68380346017e-08,2.21801201537e-14,1.59672882555e-12,3.89256626931e-08,7.90388838823e-08,2.88734134664e-15,1.62615546029e-11,3.1130725775e-10,2.48250842105e-09,1.54550330866e-11,6.30076044672e-08,7.38984137012e-14,3.23890827353e-12,4.07638538036e-07
12,4.02671984645e-09,5.19937020727e-06,8.23456303145e-11,5.9220961468e-09,4.21856161115e-11,2.2355743965e-14,2.02522751351e-05,4.96384267024e-10,2.64986937282e-07,1.47531906691e-07,1.10276729155e-12,1.51344266897e-07,1.4929438521e-06,1.88736964901e-06,3.34879057817e-09,2.16171056749e-11,3.03146293845e-07,5.57978273719e-05,6.1706068033e-10,0.894372999668,3.57525155315e-11,1.63884747786e-14,1.19414518557e-14,3.84574438809e-14,5.5164828261e-10,2.1798695661e-12,4.58929434899e-06,5.01270552844e-11,5.31387108794e-13,4.28443440665e-13,2.93951980812e-11,1.60037781638e-13,2.5086532851e-10,2.38687531789e-14,2.71738664556e-12,3.58714345052e-15,1.49009249384e-09,6.99760360767e-10,3.99818511632e-11,1.49049617093e-09,1.22913537126e-08,3.21263541991e-07,1.89762586883e-14,2.28454823059e-07,3.8777505651e-09,1.30390606046e-06,2.32488441755e-16,0.10493555665,4.58729891761e-06,8.78177947028e-11,1.35238424903e-08,5.8079275718e-17,1.38669009608e-09,1.37225508734e-10,9.27482713569e-14,1.35293735105e-14,5.59605339735e-16,1.04040907445e-07,1.95388565771e-05,6.51492769066e-07,1.26704495784e-08,7.79720424782e-15,3.29124283382e-09,2.80388007923e-07,5.02031176233e-15,1.0415774146e-11,1.54284952869e-11,3.88529616466e-12,5.95891174945e-12,6.71015021325e-10,3.43908251486e-13,4.29903224131e-08,6.69137461369e-14,1.1886308604e-09,8.56371739608e-15,2.96084008954e-15,1.22467964658e-08,5.92661059118e-11,1.4369978818e-10,3.24828414167e-10,7.84540932219e-10,8.67014549044e-09,1.41483144489e-06,1.27043923884e-13,2.59378185596e-10,0.000142112912727,2.31820749264e-08,1.83802995934e-07,7.07361184719e-17,6.53710003462e-06,5.68148002603e-12,1.73325940267e-08,3.37523238525e-11,1.02471364727e-11,2.83470562863e-05,0.000309131661197,2.58884069737e-09,1.14270155838e-11,8.64240064402e-05
13,1.91113525005e-08,4.13787893194e-06,2.67505012282e-13,1.75060632657e-10,8.66276739231e-09,4.82010342751e-09,4.55902352314e-07,4.73545640034e-07,0.00120984739624,4.87102738589e-07,6.75764555425e-09,0.000544932612684,9.20045692965e-07,0.00183961947914,0.99558120966,1.86233206634e-09,0.000283483765088,4.66584069159e-08,3.99366712145e-07,5.45935119334e-09,2.19662581458e-08,1.02092882759e-10,5.50762206331e-06,1.02638793298e-10,1.66886238162e-08,6.50824150128e-09,6.65613479214e-05,1.01625934334e-08,9.9089461969e-08,3.72014141714e-10,1.05917503934e-10,1.56956201508e-11,8.82031080118e-12,8.67463878507e-09,2.09331607604e-10,8.69113003787e-10,2.56669583365e-08,1.09538031423e-10,1.22261450963e-10,2.92434215732e-10,2.05903918915e-10,1.82922249792e-07,1.59353086282e-11,1.01661805729e-06,7.6691597517e-11,9.84694548123e-11,4.17116758911e-08,7.90881131252e-07,5.08126777277e-06,1.82896619663e-05,3.61073615451e-10,3.22107585049e-09,1.33559993287e-07,7.07296550218e-08,3.75921082457e-12,2.84059199773e-11,1.59053943349e-08,4.14178066843e-11,1.29615074229e-09,8.38244851309e-09,2.81794232393e-08,7.7954856112e-12,3.42118902097e-08,1.69003601513e-06,5.85369461237e-11,1.08366761745e-11,1.82674426696e-08,3.91695065272e-10,1.83974988022e-10,1.94115529206e-10,1.65076023961e-08,1.98631042281e-07,1.48149903456e-09,1.28341826056e-08,1.97823453618e-07,4.52411654805e-08,1.23612942798e-11,2.14028550545e-05,1.84226337296e-05,3.34111793787e-10,8.89109799118e-07,7.04681113461e-09,2.29832242127e-09,9.50562764501e-07,4.58146098836e-09,2.20792301109e-10,2.64408051009e-10,1.92409574384e-10,3.07412477696e-08,5.71805685468e-07,4.55630411872e-12,3.13509735861e-06,1.26217667429e-08,8.8995520855e-06,3.10693280881e-07,0.000379227480153,2.22333298439e-08,1.3887300554e-07,4.27857443919e-10
16,0.000175234366907,2.9966788162e-08,0.00126654526684,0.914887905121,1.66822751169e-08,4.22819539381e-08,1.83933516382e-05,9.29870452637e-07,7.04164176568e-06,2.7792126378e-09,4.8701032938e-05,3.71229180018e-06,0.000139858602779,2.04605953513e-06,1.6159866334e-07,4.61005242869e-08,1.92404368136e-05,0.00294356234372,0.000320416700561,0.000455760688055,1.76881215452e-07,1.67243126725e-06,6.53641549775e-08,1.65751359305e-08,2.35793158936e-05,4.5082604629e-05,3.90961588437e-07,0.000377892574761,1.10992027658e-06,1.57534600476e-07,0.000248184311204,6.33726667729e-05,0.000675428309478,4.06285884935e-08,0.000200574853807,1.77228045573e-07,2.32650836551e-05,8.23279208362e-07,1.01424348031e-06,0.000897536345292,0.00150236964691,0.00013788267097,5.98699125476e-06,0.000584748631809,8.20783970994e-05,0.000986126950011,9.20061381748e-07,7.43610871723e-06,5.6545040934e-06,8.38842388475e-05,0.00170973269269,3.22795621344e-08,0.00298451818526,7.03675505065e-06,2.12102051478e-07,7.67865640228e-06,4.85703210984e-09,0.000183497337275,0.00789933279157,6.4262496835e-07,0.0131089193746,5.27306838194e-07,0.000110235989268,4.47535740022e-07,9.7438757507e-08,0.000113465706818,3.50995906047e-05,1.45929936934e-06,0.000888902985025,0.00445437245071,6.43527400257e-08,5.60576722819e-08,8.77114381126e-09,0.000676511961501,1.1273413314e-09,4.16196508013e-06,3.61686943506e-05,2.58655018115e-06,1.25076726754e-09,4.01220095227e-05,4.27727755437e-08,0.0153010673821,3.63415551874e-06,1.74003218945e-06,1.66173163052e-06,0.00355552718975,0.0143545148894,0.000309327704599,1.52984958035e-09,0.00104476092383,0.000387136766221,0.00105145189445,7.2717666626e-06,4.39879613623e-06,0.00441905064508,0.000412258610595,0.000391856359784,2.13492803596e-05,0.000219725669012
19,8.94346667337e-05,1.71804881433e-08,3.35163053933e-06,0.99533623457,1.14318166045e-09,9.04451305517e-11,1.30193498649e-07,1.68240288367e-09,8.5493837787e-07,1.75288825122e-10,2.07405287256e-06,8.6956273293e-09,0.000149340135977,1.9434827081e-09,1.02968655824e-09,8.12773681691e-10,8.21277626528e-06,1.81104758212e-06,1.71167798158e-07,5.8589262153e-06,3.08513961045e-07,4.21969389208e-07,2.41056063999e-09,7.18489587825e-08,7.91942653677e-08,4.1835475713e-05,8.81359785154e-09,9.52689515543e-06,2.01269436673e-08,4.08266380703e-08,1.92911826957e-07,5.73026336497e-05,8.51732911542e-05,5.59378321441e-10,2.17784668166e-06,8.76422434626e-10,2.9234890917e-06,2.2158842512e-06,2.69341376224e-06,0.00181192706805,4.4277170673e-05,0.000107435473183,5.18082199363e-09,5.64107324408e-07,5.01843317124e-07,1.27595121739e-05,3.71543848132e-07,1.13482528263e-07,4.44005138434e-07,8.01328212674e-08,0.000878205173649,1.42055753827e-08,1.23473582789e-05,7.96599977093e-07,2.81624430443e-08,6.10918004895e-06,3.51566192824e-10,3.50845937191e-07,6.56447764413e-06,2.84985421928e-08,0.000309782772092,2.5119994973e-09,9.37393224376e-07,3.0253477501e-10,7.47859445482e-08,8.35134560475e-05,6.37556212268e-08,1.87548554464e-09,2.86144386337e-05,5.58478586754e-06,2.55525933746e-09,3.50837206509e-11,4.05388722591e-10,3.46286377351e-08,7.69436458992e-10,1.55020529746e-07,2.21376652121e-07,2.36492070371e-08,3.73281232313e-11,1.97896929421e-06,2.75778039294e-10,7.38781236578e-05,3.18585868797e-08,2.21723581717e-07,2.24444193009e-07,0.00023654938559,5.92071228311e-06,1.30643884404e-05,1.49581430575e-10,1.95131178771e-06,1.5426758182e-06,5.40871078556e-05,7.88818610431e-09,2.30455810879e-07,0.000419295422034,1.35440586746e-06,5.19010700373e-06,4.67450308861e-06,6.5472748247e-05
23,4.47425513306e-10,2.00382692128e-05,1.75776293077e-07,4.92004770258e-10,1.53063974722e-05,0.00193038629368,1.96965658006e-07,1.22267629195e-05,1.08691962097e-08,4.14066079202e-07,1.6253207491e-07,3.6371101686e-08,2.93276780639e-09,4.35382325747e-08,3.98843269522e-08,0.0613581649959,9.09299213703e-09,1.05887887347e-09,3.96084215026e-06,9.47292466691e-09,5.98043652644e-06,4.55104964203e-05,5.36585394002e-05,2.71427410325e-07,1.12149976417e-07,1.49179982145e-07,7.92536738459e-08,2.04458530106e-08,0.931790173054,0.00270457821898,0.00101104448549,3.81968456864e-09,1.16983315479e-07,7.49298934011e-08,1.17708386824e-05,0.000132154731546,1.45603920032e-07,4.02417327905e-07,2.18733774204e-07,1.94313699353e-07,2.30876935348e-07,1.12129420332e-11,0.000351714406861,5.09942266191e-09,1.26280127688e-07,3.1555341673e-10,5.84922190683e-07,3.47128631395e-10,6.50458265028e-09,1.29862530684e-06,2.85176660064e-10,9.62241465459e-05,8.38680147552e-09,1.77847951477e-07,6.43569080694e-07,1.01921950773e-05,0.000103986370959,1.05909657577e-06,3.48295864372e-10,8.44305780845e-09,2.66061395138e-10,2.63338665718e-06,1.48940091549e-06,1.50239941377e-07,2.40894842136e-05,3.12660314306e-10,4.49399776699e-05,3.09727765853e-05,7.46500518289e-07,3.02381595247e-05,9.12490941118e-05,3.00871676018e-07,8.01074111223e-06,1.6405401766e-05,5.22953860127e-06,1.36444198162e-08,2.90119686497e-07,5.17673197464e-06,3.66434314003e-08,6.3332743494e-09,1.49643923919e-07,4.77143551336e-08,8.44708392123e-09,9.51347089995e-08,9.93497565105e-07,1.26170043302e-08,2.01664041022e-09,4.8793349805e-08,7.20787284081e-05,8.67512106595e-09,1.29589054154e-07,2.53645016102e-08,7.7607893445e-08,1.28475406314e-07,6.39745686981e-11,1.90181412285e-10,6.30722709616e-08,7.27435556236e-10,4.63335716461e-08
24,6.36298977952e-08,8.25290807915e-11,3.96026204612e-16,1.2399886673e-10,1.04564891901e-12,1.21662565005e-12,9.28378251011e-13,3.50141655036e-13,9.11964377792e-07,2.29938585533e-11,1.22698323723e-10,4.74614298653e-17,2.20999087086e-11,3.46426880132e-17,3.14030045186e-14,1.75860133476e-14,1.32162327304e-07,4.40537177186e-15,7.21881372902e-15,8.11060996142e-10,3.48327375832e-08,2.49021990196e-15,8.17248551541e-19,1.53545406234e-14,6.23307019979e-18,2.27341285578e-18,2.87565282697e-09,9.49346937867e-13,7.60889325942e-16,3.65879142643e-15,4.19174499194e-19,6.14432593693e-08,9.98480631509e-10,6.87856993794e-17,4.30598445789e-10,1.27500168016e-14,1.09243733851e-12,9.77928067414e-08,5.81501409525e-11,2.15588005781e-10,2.22242675652e-11,6.58322230063e-10,1.01224948562e-11,9.37041778429e-17,1.83064717899e-12,1.70471392558e-09,2.41049178231e-13,1.49791515996e-11,6.88706860638e-12,6.02933371632e-12,3.8904296451e-10,3.80501546715e-06,3.09635892399e-18,5.01866445266e-14,1.02441248843e-14,1.08891747615e-12,6.07666586321e-13,6.31846675459e-17,5.5529678078e-12,7.1229216303e-08,1.00173458152e-17,4.55915145046e-14,2.66188664994e-18,9.1905412588e-14,2.90610735476e-08,4.33748252159e-13,2.11666566673e-15,4.04993547417e-19,8.61679564507e-12,1.06436246535e-12,4.27656115546e-17,1.66703131334e-14,2.04560379052e-11,2.74022156385e-17,3.22397086805e-09,5.09392570171e-14,2.95462710288e-15,2.44203274816e-14,9.83867742832e-09,2.24424047529e-15,2.0894566459e-12,1.59385783109e-13,1.90155091673e-08,2.56291450285e-08,0.999994635582,2.75412711978e-14,1.41072125029e-19,4.9196122504e-15,9.48251097462e-15,3.17388365589e-10,4.36739172605e-10,1.77259126973e-13,1.94457842976e-15,1.3454538319e-13,5.84641810519e-08,7.02599125255e-14,3.86751345628e-19,7.67952257233e-15,2.08423933968e-15
28,0.000140406642458,2.55297454714e-05,1.9565492889e-12,7.40690893508e-07,1.21848856338e-07,5.32916100138e-10,3.16063960781e-07,2.16591688513e-05,0.991888821125,1.22470805763e-06,8.80665265868e-06,1.98646466743e-06,0.00217856839299,7.10925576186e-07,5.33091260877e-05,1.0495571523e-08,0.00252282503061,7.83820553352e-07,3.26017151053e-08,2.67801010523e-06,5.80952073506e-05,4.19353440861e-12,5.25859189526e-10,9.31369759094e-10,1.22468389596e-11,1.4621394373e-10,5.86698797633e-06,1.80358061819e-10,7.16509906962e-10,1.25884835889e-09,3.24596035814e-13,2.52824268188e-08,8.89305056262e-08,1.30311861302e-09,5.54015791576e-11,5.65962565702e-09,3.26570687159e-10,2.81556310711e-07,3.40306161029e-09,1.91855651366e-08,5.14956854936e-10,2.49874710789e-06,2.16043627432e-10,7.05933089762e-10,4.61753391079e-09,5.62746777177e-07,1.15734382078e-08,1.40742736221e-06,8.60799809743e-06,3.83786355087e-05,1.25968480091e-08,1.06562481506e-06,3.60437946156e-09,4.08574827304e-08,7.03764546639e-10,1.88577384819e-08,2.43615794204e-09,3.42789130414e-11,5.70334321992e-08,3.4498975765e-07,2.81959633419e-09,1.23255763235e-11,2.79732326192e-09,7.23289206306e-09,2.17161485239e-07,2.40013008579e-07,2.13989395648e-10,4.27178312255e-13,2.86170127595e-08,1.69613167955e-09,1.13135745217e-09,2.65701860513e-09,4.22411605694e-10,6.35016594863e-10,1.24906509882e-05,7.47005035606e-09,9.79059722184e-10,5.09985786934e-09,1.94987183022e-06,2.18719264922e-09,1.8244503508e-07,1.14036398102e-08,3.91605965433e-07,4.08948494623e-07,0.000316099700285,1.27847599174e-07,1.09055664499e-09,4.78774631052e-10,1.28500454721e-09,3.55759402737e-05,1.22319332441e-09,4.78460697195e-06,4.66541258959e-08,0.00014290404215,0.00251131481491,7.27371480025e-06,6.26128012285e-12,3.49144602119e-09,2.14978399526e-08
